,Product Name ,Product Price ,Discount
0,NBOX Air 2 TWS On Ear True Wireless (TWS) 20 Hours Playback IPX5(Splash & Sweat Proof) Passive noise cancellation -Bluetooth White,Rs.  599,"
70% Off
"
1,NBOX HBS 730 BLUETOOTH\HEADPHONE In Ear Bluetooth Neckband Upto 4 Hours Playback(Splash & Sweat Proof) Passive noise cancellation -Bluetooth Headphone/ Earphone Black,Rs.  399,"
60% Off
"
2,TUNE AUDIO DRIP 20 HOURS MUSIC PLAYBACK IPX4 4D BASS SPORT BLUETOOTH HEADPHONE / BLUETOOTH EARPHONE MAGNETIC NECKBAND NECKBAND,Rs.  499,"
83% Off
"
3,Neo M19 On Ear True Wireless (TWS) 50 Hours Playback IPX4(Splash & Sweat Proof) Active Noise cancellation -Bluetooth Black,Rs.  499,"
50% Off
"
4,VEhop BNB-04 24Hrs PlayTime with Mic Neckband Wireless With Mic Headphones/Earphones Black,Rs.  499,"
83% Off
"
5,boAt Rockerz 235 v2 with ASAP charging Version 5.0 Bluetooth Headset (Red),"Rs.  1,199","
60% Off
"
6,hitage TWS-93 V5.1 Eabuds On Ear True Wireless (TWS) 20 Hours Playback IPX4(Splash & Sweat Proof) Magnetic earpeice -Bluetooth V 5.1 Black,Rs.  999,"
67% Off
"
7,boAt Airdopes 121v2 On Ear Wireless With Mic Headphones/Earphones Red,"Rs.  1,299","
57% Off
"
8,Neo M10 On Ear True Wireless (TWS) 50 Hours Playback IPX4(Splash & Sweat Proof) Active Noise cancellation -Bluetooth Black,Rs.  449,"
78% Off
"
9,UCOOL M10 Earbud Bluetooth In Ear True Wireless (TWS) 50 Hours Playback IPX6(Water Resistant) Noise isolation -Bluetooth V 5.0 Black,Rs.  469,"
64% Off
"
10,"VEhop Ninja On Ear Bluetooth Headphone 15 Hours Playback IPX4(Splash & Sweat Proof) Powerfull bass,Fast charging -Bluetooth V 5.0 Assorted",Rs.  899,"
78% Off
"
11,Cross CR BT 229N In Ear Bluetooth Neckband 10 Hours Playback IPX5(Splash & Sweat Proof) Active Noise cancellation -Bluetooth Navy,Rs.  349,"
88% Off
"
12,Neo 12 On Ear True Wireless (TWS) 2 Hours Playback IPX4(Splash & Sweat Proof) Active Noise cancellation -Bluetooth White,Rs.  329,"
67% Off
"
13,Boult Audio Boult Audio AirBass Xpods On Ear Wireless With Mic Headphones/Earphones Black,"Rs.  1,299","
74% Off
"
14,"boAt Rockerz 370 On Ear Bluetooth Headphone with Bluetooth v5.0, Immersive Audio, Cosy Padded Earcups and Lightweight Ergonomic Design (Active Black)","Rs.  1,199","
52% Off
"
15,Lenovo XE05 In Ear Bluetooth Neckband 8 Hours Playback IPX5(Splash & Sweat Proof) Powerfull bass -Bluetooth V 5.0 Black,Rs.  999,"
71% Off
"
16,Neo L21 On Ear True Wireless (TWS) 20 Hours Playback IPX4(Splash & Sweat Proof) Active Noise cancellation -Bluetooth Black,Rs.  449,"
78% Off
"
17,Tecsox Max10 Earbud On Ear Bluetooth Headphone 45 Hours Playback IPX6(Water Resistant) Powerfull bass -Bluetooth Charcoal Black,Rs.  499,"
83% Off
"
18,Gionee Bliss 101 EP1 In Ear Wired Headphone 0 Hours Playback IPX4(Splash & Sweat Proof) Powerfull bass -Bluetooth Black,Rs.  296,"
63% Off
"
19,Boult Audio AirBass GearPods On Ear Wireless With Mic Headphones/Earphones White,"Rs.  1,099","
82% Off
"
